Gender,Gen,Pers,Attn,Fav,Exp,Cred,Relevancy
Female,6,5,7,6,4,2,0
Female,4,3,2,2,2,2,0
Male,3,2,5,4,1,5,1
Male,5,3,6,2,1,3,1
Female,2,4,3,2,5,2,1
Female,5,6,6,5,6,5,1
Male,3,3,3,3,4,3,0
Male,3,2,2,3,4,3,0
Male,2,1,2,1,1,2,1
Male,4,4,5,5,4,5,1
Female,5,3,5,3,6,4,0
Female,5,7,6,4,2,4,0
Female,4,5,4,4,6,4,1
Female,3,2,2,2,3,3,1
Male,4,5,4,1,5,4,0
Male,5,5,4,4,4,5,0
Male,2,5,2,2,2,2,1
Male,5,6,6,3,3,3,1
Female,5,5,6,5,7,4,0
Female,5,5,5,5,5,4,0
Female,4,3,3,3,3,2,1
Female,4,5,5,3,3,2,1
Female,4,5,5,3,4,1,1
Female,2,2,5,2,4,5,1
Male,3,3,4,3,2,3,0
Male,5,5,5,5,4,5,0
Female,5,4,6,6,5,4,0
Female,4,3,5,4,1,3,0
Male,3,4,5,4,3,3,1
Male,4,4,5,4,4,3,1
Female,5,4,4,3,5,4,0
Female,4,4,4,3,3,3,0
Male,5,4,7,3,4,3,0
Male,1,2,5,1,2,2,0
Female,6,5,5,5,6,4,0
Female,4,2,1,2,1,2,0
Male,5,6,5,5,6,4,0
Male,4,5,3,4,5,3,0
Male,3,3,3,3,4,4,1
Male,3,2,3,3,3,3,1
Female,1,5,2,1,3,1,1
Female,1,2,4,1,2,2,1
Male,5,3,3,5,6,6,1
Male,5,3,2,3,5,3,1
Female,3,4,4,3,4,3,1
Female,3,3,4,3,3,2,1
Female,3,6,3,4,4,3,0
Female,3,7,5,3,2,3,0
Male,5,5,4,4,3,2,0
Male,3,3,2,2,4,4,0
Female,3,2,1,4,3,4,0
Female,4,5,3,4,3,5,0
Female,6,4,7,6,5,4,1
Female,5,4,5,5,6,5,1
Male,4,3,5,4,4,4,0
Male,4,5,2,4,5,4,0
Female,2,2,2,2,3,3,1
Female,4,4,5,4,3,3,1
Female,4,4,2,4,4,4,1
Female,5,4,5,4,2,4,1
Male,2,1,4,2,2,2,1
Male,5,3,5,4,6,5,1
Male,3,3,3,3,2,5,0
Male,4,5,2,4,1,5,0
Female,5,5,6,5,5,4,0
Female,4,6,3,3,1,3,0
Female,3,4,2,3,7,5,0
Female,5,6,5,4,7,7,0
Male,3,6,5,3,5,4,1
Male,5,5,6,6,5,6,1
Female,2,5,3,1,5,4,1
Female,5,6,5,4,6,4,1
Male,4,4,7,2,3,4,0
Male,5,6,3,6,4,5,0
Female,5,4,6,5,5,6,1
Female,2,1,2,1,2,1,1
Male,2,2,6,1,2,2,1
Male,3,5,6,2,2,1,1
Male,2,5,3,2,2,2,0
Male,4,5,3,4,2,2,0
Female,4,3,3,4,5,4,0
Female,4,5,2,4,5,5,0
Female,4,6,6,5,4,4,1
Female,6,7,7,7,6,4,1
Male,4,6,4,4,4,3,0
Male,4,5,5,4,3,3,0
Male,5,7,6,5,1,1,1
Male,3,2,1,2,1,1,1
Female,4,4,5,4,6,4,0
Female,4,5,4,4,5,4,0
Female,5,5,6,5,5,4,0
Female,5,4,3,4,4,5,0
Male,2,3,2,2,1,2,0
Male,1,3,2,2,1,1,0
Male,3,3,1,2,3,3,1
Male,5,4,2,3,3,3,1
Female,3,3,3,2,5,4,1
Female,3,2,5,2,2,2,1
Female,5,5,5,5,5,5,0
Female,4,4,4,4,4,4,0
Male,3,4,2,2,3,5,0
Male,2,6,2,3,3,5,0
Male,6,4,4,5,4,5,1
Male,5,6,5,5,5,5,1
Female,5,5,4,5,6,5,1
Female,5,5,5,5,4,4,1
Female,3,5,5,3,2,1,0
Female,1,4,2,1,1,1,0
Male,4,6,3,4,2,3,0
Male,4,5,3,5,3,3,0
Female,5,4,5,4,5,3,1
Female,4,7,5,6,7,6,1
Female,5,5,5,5,5,4,0
Female,4,3,4,3,3,3,0
Male,6,6,5,6,5,5,0
Male,6,6,6,5,5,5,0
Male,5,3,4,4,1,2,1
Male,3,5,5,3,5,5,1
Female,2,5,2,1,3,1,1
Female,1,5,4,1,4,1,1
Female,1,2,1,1,2,2,0
Female,1,3,1,1,2,3,0
Male,3,2,2,2,1,2,0
Male,3,1,1,2,1,2,0
Male,5,7,5,5,7,4,1
Male,3,6,7,3,7,1,1
Female,2,1,1,1,1,1,1
Female,4,2,1,2,6,2,1
Male,5,1,5,3,3,2,1
Male,2,4,1,1,2,1,1
Female,6,3,4,5,7,7,1
Female,6,3,5,5,7,7,1
Male,3,3,3,3,3,3,0
Male,5,4,5,5,5,6,0
Male,3,3,5,1,1,4,0
Male,2,4,4,2,3,5,0
Female,5,6,5,5,7,6,1
Female,5,7,7,5,7,6,1
Female,6,7,6,6,6,7,0
Female,5,6,5,5,4,6,0
Male,4,4,3,4,5,5,1
Male,5,6,5,5,6,5,1
Male,4,2,1,3,4,4,1
Male,4,5,5,5,6,5,1
Female,4,7,5,3,6,6,1
Female,4,3,4,4,5,5,1
Male,5,5,5,5,1,4,0
Male,5,4,6,5,1,4,0
Female,4,4,5,4,5,4,0
Female,3,2,2,2,3,4,0
Male,2,1,1,1,6,3,1
Male,2,1,2,2,7,4,1
Female,2,6,5,3,2,3,1
Female,3,6,5,3,2,3,1
Male,2,4,1,2,2,3,0
Male,2,3,2,3,2,3,0
Male,4,3,4,3,3,3,0
Male,3,2,6,3,3,3,0
Female,4,5,3,4,5,5,1
Female,5,4,5,4,6,5,1
Female,6,7,5,6,7,6,0
Female,4,4,5,3,1,2,0
Male,7,5,6,6,7,7,1
Male,5,5,4,5,7,7,1
Female,3,3,3,2,2,2,1
Female,4,4,4,4,4,4,1
Male,3,3,5,3,3,2,1
Male,1,2,2,1,2,2,1
Male,5,6,6,6,6,7,0
Male,3,3,2,2,3,3,0
Female,6,6,6,6,6,6,0
Female,4,5,4,4,2,2,0
Male,3,3,3,3,2,2,1
Male,4,3,4,3,3,3,1
Female,5,5,4,5,6,4,0
Female,6,6,4,5,5,5,0
Female,3,3,3,3,2,3,1
Female,4,2,2,3,2,3,1
Male,1,2,3,2,3,2,1
Male,2,5,2,2,4,3,1
Female,5,4,5,4,4,5,1
Female,4,2,3,3,3,2,1
Male,4,3,3,4,6,5,0
Male,3,4,4,3,5,5,0
Male,4,5,4,5,2,3,0
Male,4,5,5,5,2,2,0
Female,4,2,5,4,3,3,0
Female,4,5,3,3,2,3,0